session_id,unit_id,subject,cell_type,n_spikes,firing_rate
BH549_1500_200_67_5,0,BH549,Inhibitory,6164,4.897792721638717
BH549_1500_200_67_5,1,BH549,Inhibitory,4177,3.318961745341486
BH549_1500_200_67_5,2,BH549,Inhibitory,5714,4.540231604711815
BH549_1500_200_67_5,3,BH549,Inhibitory,1240,0.9852795221985738
BH549_1500_200_67_5,4,BH549,Inhibitory,2427,1.928446290625757
BH549_1500_200_67_5,5,BH549,Inhibitory,4657,3.7003602700635145
BH549_1500_200_67_7,0,BH549,Inhibitory,5338,4.218490359742085
BH549_1500_200_67_7,1,BH549,Inhibitory,8812,6.963907278015596
BH549_1500_200_67_7,2,BH549,Inhibitory,3838,3.0330771825946274
BH549_1500_200_67_7,3,BH549,Excitatory,3961,3.130281063120719
BH549_1500_200_67_7,4,BH549,Inhibitory,3679,2.907423385816997
BH549_1500_200_67_7,5,BH549,Inhibitory,6327,5.000072781207975
BH549_1500_200_67_7,6,BH549,Inhibitory,10649,8.415643282295516
BH549_1500_200_67_7,7,BH549,Excitatory,14331,11.325437494466808
BH549_1500_200_67_7,8,BH549,Excitatory,5082,4.016179844175586
BH549_3000_200_67_5,0,BH549,Inhibitory,5041,3.8288325105230347
BH549_3000_200_67_5,1,BH549,Inhibitory,6668,5.0646013053298145
BH549_1500_4_67_7,0,BH549,Inhibitory,5007,3.964415923092001
BH549_1500_4_67_7,1,BH549,Inhibitory,8934,7.073715170142587
BH549_1500_4_67_7,2,BH549,Inhibitory,6090,4.82190792323353
BH549_1500_4_67_7,3,BH549,Inhibitory,9000,7.1259723003451185
BH549_1500_4_67_7,4,BH549,Inhibitory,11655,9.228134128946929
BH549_1500_4_67_7,5,BH549,Inhibitory,9566,7.574116780566822
BH549_1500_4_67_7,6,BH549,Inhibitory,10503,8.316009674502753
BH549_1500_4_67_7,7,BH549,Inhibitory,9049,7.164769260646997
BH549_1500_4_67_7,8,BH549,Inhibitory,9917,7.852029700280282
BH549_1500_4_67_7,9,BH549,Inhibitory,8158,6.45929800291283
BH549_1500_4_67_7,10,BH549,Inhibitory,12749,10.09433565078888
BH549_1500_4_67_7,11,BH549,Inhibitory,8102,6.414958619710683
BH549_1500_4_67_7,12,BH549,Inhibitory,13223,10.469636858607055
BH549_1500_4_67_7,13,BH549,Inhibitory,6398,5.06577453084534
BH549_1500_4_67_7,14,BH549,Inhibitory,11010,8.717439447422194
BH549_1500_4_67_7,15,BH549,Inhibitory,6993,5.536880477368157
BH549_1500_4_67_7,16,BH549,Inhibitory,7321,5.796582578980734
BH549_1500_4_67_7,17,BH549,Inhibitory,10249,8.114898900693014
BH549_1500_4_67_7,18,BH549,Inhibitory,10079,7.980297201686494
BH549_1500_4_67_7,19,BH549,Inhibitory,9384,7.430013785159844
BH549_1500_4_67_7,20,BH549,Inhibitory,9303,7.365880034456737
BH549_1500_4_67_7,21,BH549,Inhibitory,5299,4.195614135503198
BH549_1500_4_67_7,22,BH549,Excitatory,6508,5.152869747849559
BH549_1500_4_67_7,23,BH549,Inhibitory,7260,5.748284322278395
BH549_1500_4_67_7,24,BH549,Excitatory,7777,6.157631842198221
BH549_1500_4_67_7,25,BH549,Excitatory,8099,6.412583295610568
BH549_1500_4_67_7,26,BH549,Excitatory,8451,6.691287990024066
BH549_1500_4_67_7,27,BH549,Excitatory,7692,6.090330992694961
BH549_1500_4_67_7,28,BH549,Inhibitory,9515,7.533736270864867
BH549_1500_4_67_7,29,BH549,Excitatory,15036,11.905124389776578
BH549_1500_4_67_7,30,BH549,Inhibitory,11054,8.752277534223882
BH549_1500_4_67_7,31,BH549,Excitatory,10224,8.095104533192055
BH549_1500_4_67_7,32,BH549,Inhibitory,4080,3.2304407761564535
BH549_1500_4_67_7,33,BH549,Excitatory,13158,10.418171503104563
BH549_1500_4_67_7,34,BH549,Inhibitory,6284,4.975512215040969
