neuron_id,label
hausser_neuron_0,unlabeled
hausser_neuron_1,unlabeled
hausser_neuron_10,unlabeled
hausser_neuron_100,unlabeled
hausser_neuron_1000,unlabeled
hausser_neuron_1001,unlabeled
hausser_neuron_1002,unlabeled
hausser_neuron_1003,unlabeled
hausser_neuron_1004,unlabeled
hausser_neuron_1005,unlabeled
hausser_neuron_1006,unlabeled
hausser_neuron_1007,unlabeled
hausser_neuron_1008,unlabeled
hausser_neuron_1009,unlabeled
hausser_neuron_101,PkC_ss
hausser_neuron_1010,unlabeled
hausser_neuron_1011,unlabeled
hausser_neuron_1012,unlabeled
hausser_neuron_1013,unlabeled
hausser_neuron_1014,unlabeled
hausser_neuron_1015,PkC_ss
hausser_neuron_1016,unlabeled
hausser_neuron_1017,unlabeled
hausser_neuron_1018,unlabeled
hausser_neuron_1019,unlabeled
hausser_neuron_102,unlabeled
hausser_neuron_1020,unlabeled
hausser_neuron_1021,unlabeled
hausser_neuron_1022,unlabeled
hausser_neuron_1023,unlabeled
hausser_neuron_1024,unlabeled
hausser_neuron_1025,unlabeled
hausser_neuron_1026,unlabeled
hausser_neuron_1027,unlabeled
hausser_neuron_1028,unlabeled
hausser_neuron_1029,unlabeled
hausser_neuron_103,unlabeled
hausser_neuron_1030,unlabeled
hausser_neuron_1031,unlabeled
hausser_neuron_1032,unlabeled
hausser_neuron_1033,unlabeled
hausser_neuron_1034,unlabeled
hausser_neuron_1035,unlabeled
hausser_neuron_1036,unlabeled
hausser_neuron_1037,unlabeled
hausser_neuron_1038,unlabeled
hausser_neuron_1039,unlabeled
hausser_neuron_104,unlabeled
hausser_neuron_1040,unlabeled
hausser_neuron_1041,unlabeled
hausser_neuron_1042,unlabeled
hausser_neuron_1043,unlabeled
hausser_neuron_1044,unlabeled
hausser_neuron_1045,unlabeled
hausser_neuron_1046,unlabeled
hausser_neuron_1047,unlabeled
hausser_neuron_1048,unlabeled
hausser_neuron_1049,unlabeled
hausser_neuron_105,unlabeled
hausser_neuron_1050,unlabeled
hausser_neuron_1051,unlabeled
hausser_neuron_1052,unlabeled
hausser_neuron_1053,unlabeled
hausser_neuron_1054,unlabeled
hausser_neuron_1055,unlabeled
hausser_neuron_1056,unlabeled
hausser_neuron_1057,unlabeled
hausser_neuron_1058,unlabeled
hausser_neuron_1059,unlabeled
hausser_neuron_106,unlabeled
hausser_neuron_1060,unlabeled
hausser_neuron_1061,unlabeled
hausser_neuron_1062,unlabeled
hausser_neuron_1063,unlabeled
hausser_neuron_1064,unlabeled
hausser_neuron_1065,unlabeled
hausser_neuron_1066,unlabeled
hausser_neuron_1067,unlabeled
hausser_neuron_1068,MFB
hausser_neuron_1069,unlabeled
hausser_neuron_107,unlabeled
hausser_neuron_1070,unlabeled
hausser_neuron_1071,unlabeled
hausser_neuron_1072,unlabeled
hausser_neuron_1073,unlabeled
hausser_neuron_1074,unlabeled
hausser_neuron_1075,unlabeled
hausser_neuron_1076,unlabeled
hausser_neuron_1077,MFB
hausser_neuron_1078,unlabeled
hausser_neuron_1079,unlabeled
hausser_neuron_108,unlabeled
hausser_neuron_1080,unlabeled
hausser_neuron_1081,unlabeled
hausser_neuron_1082,unlabeled
hausser_neuron_1083,unlabeled
hausser_neuron_1084,unlabeled
hausser_neuron_1085,unlabeled
hausser_neuron_1086,unlabeled
hausser_neuron_1087,unlabeled
hausser_neuron_1088,unlabeled
hausser_neuron_1089,unlabeled
hausser_neuron_109,unlabeled
hausser_neuron_1090,unlabeled
hausser_neuron_1091,unlabeled
hausser_neuron_1092,unlabeled
hausser_neuron_1093,unlabeled
hausser_neuron_1094,unlabeled
hausser_neuron_1095,unlabeled
hausser_neuron_1096,unlabeled
hausser_neuron_1097,unlabeled
hausser_neuron_1098,unlabeled
hausser_neuron_1099,unlabeled
hausser_neuron_11,unlabeled
hausser_neuron_110,unlabeled
hausser_neuron_1100,unlabeled
hausser_neuron_1101,unlabeled
hausser_neuron_1102,MFB
hausser_neuron_1103,unlabeled
hausser_neuron_1104,unlabeled
hausser_neuron_1105,unlabeled
hausser_neuron_1106,unlabeled
hausser_neuron_1107,unlabeled
hausser_neuron_1108,unlabeled
hausser_neuron_1109,unlabeled
hausser_neuron_111,unlabeled
hausser_neuron_1110,unlabeled
hausser_neuron_1111,unlabeled
hausser_neuron_1112,unlabeled
hausser_neuron_1113,unlabeled
hausser_neuron_1114,unlabeled
hausser_neuron_1115,unlabeled
hausser_neuron_1116,unlabeled
hausser_neuron_1117,unlabeled
hausser_neuron_1118,unlabeled
