neuron_id,label
hull_neuron_0,MFB
hull_neuron_1,MFB
hull_neuron_10,PkC_cs
hull_neuron_100,MLI
hull_neuron_101,PkC_ss
hull_neuron_102,PkC_cs
hull_neuron_11,MFB
hull_neuron_12,MFB
hull_neuron_13,MFB
hull_neuron_14,MFB
hull_neuron_15,MFB
hull_neuron_16,PkC_ss
hull_neuron_17,PkC_ss
hull_neuron_18,PkC_ss
hull_neuron_19,PkC_cs
hull_neuron_2,MFB
hull_neuron_20,PkC_cs
hull_neuron_21,PkC_cs
hull_neuron_22,MLI
hull_neuron_23,MLI
hull_neuron_24,MLI
hull_neuron_25,MLI
hull_neuron_26,MLI
hull_neuron_27,PkC_ss
hull_neuron_28,PkC_ss
hull_neuron_29,PkC_ss
hull_neuron_3,MFB
hull_neuron_30,PkC_ss
hull_neuron_31,PkC_ss
hull_neuron_32,PkC_ss
hull_neuron_33,PkC_cs
hull_neuron_34,PkC_cs
hull_neuron_35,PkC_cs
hull_neuron_36,PkC_cs
hull_neuron_37,MFB
hull_neuron_38,MFB
hull_neuron_39,MFB
hull_neuron_4,MFB
hull_neuron_40,MFB
hull_neuron_41,MFB
hull_neuron_42,MFB
hull_neuron_43,PkC_ss
hull_neuron_44,PkC_ss
hull_neuron_45,PkC_ss
hull_neuron_46,PkC_ss
hull_neuron_47,PkC_ss
hull_neuron_48,PkC_ss
hull_neuron_49,PkC_ss
hull_neuron_5,MFB
hull_neuron_50,PkC_ss
hull_neuron_51,PkC_cs
hull_neuron_52,PkC_cs
hull_neuron_53,PkC_cs
hull_neuron_54,PkC_cs
hull_neuron_55,PkC_cs
hull_neuron_56,PkC_cs
hull_neuron_57,PkC_cs
hull_neuron_58,PkC_cs
hull_neuron_59,PkC_ss
hull_neuron_6,MFB
hull_neuron_60,PkC_ss
hull_neuron_61,PkC_ss
hull_neuron_62,PkC_ss
hull_neuron_63,PkC_ss
hull_neuron_64,PkC_cs
hull_neuron_65,PkC_cs
hull_neuron_66,PkC_cs
hull_neuron_67,PkC_cs
hull_neuron_68,PkC_cs
hull_neuron_69,MLI
hull_neuron_7,PkC_ss
hull_neuron_70,MLI
hull_neuron_71,MLI
hull_neuron_72,MLI
hull_neuron_73,GoC
hull_neuron_74,MLI
hull_neuron_75,PkC_ss
hull_neuron_76,PkC_ss
hull_neuron_77,PkC_ss
hull_neuron_78,PkC_ss
hull_neuron_79,PkC_ss
hull_neuron_8,PkC_ss
hull_neuron_80,PkC_ss
hull_neuron_81,PkC_ss
hull_neuron_82,PkC_ss
hull_neuron_83,PkC_cs
hull_neuron_84,PkC_cs
hull_neuron_85,PkC_cs
hull_neuron_86,PkC_cs
hull_neuron_87,PkC_cs
hull_neuron_88,PkC_cs
hull_neuron_89,PkC_cs
hull_neuron_9,PkC_cs
hull_neuron_90,PkC_cs
hull_neuron_91,GoC
hull_neuron_92,PkC_ss
hull_neuron_93,PkC_ss
hull_neuron_94,PkC_cs
hull_neuron_95,PkC_cs
hull_neuron_96,MLI
hull_neuron_97,MLI
hull_neuron_98,PkC_ss
hull_neuron_99,PkC_cs
