neuron_id,label
lisberger_neuron_0,PkC_ss
lisberger_neuron_1,PkC_ss
lisberger_neuron_10,GoC
lisberger_neuron_100,unlabeled
lisberger_neuron_1000,MLI
lisberger_neuron_1001,unlabeled
lisberger_neuron_1002,MFB
lisberger_neuron_1003,unlabeled
lisberger_neuron_1004,MFB
lisberger_neuron_1005,MLI
lisberger_neuron_1006,MLI
lisberger_neuron_1007,PkC_ss
lisberger_neuron_1008,PkC_ss
lisberger_neuron_1009,PkC_ss
lisberger_neuron_101,unlabeled
lisberger_neuron_1010,PkC_cs
lisberger_neuron_1011,PkC_cs
lisberger_neuron_1012,unlabeled
lisberger_neuron_1013,GoC
lisberger_neuron_1014,GoC
lisberger_neuron_1015,MFB
lisberger_neuron_1016,unlabeled
lisberger_neuron_1017,unlabeled
lisberger_neuron_1018,PkC_ss
lisberger_neuron_1019,PkC_ss
lisberger_neuron_102,unlabeled
lisberger_neuron_1020,PkC_ss
lisberger_neuron_1021,PkC_ss
lisberger_neuron_1022,PkC_ss
lisberger_neuron_1023,PkC_cs
lisberger_neuron_1024,PkC_cs
lisberger_neuron_1025,PkC_cs
lisberger_neuron_1026,PkC_cs
lisberger_neuron_1027,MLI
lisberger_neuron_1028,unlabeled
lisberger_neuron_1029,PkC_ss
lisberger_neuron_103,unlabeled
lisberger_neuron_1030,PkC_ss
lisberger_neuron_1031,PkC_cs
lisberger_neuron_1032,unlabeled
lisberger_neuron_1033,unlabeled
lisberger_neuron_1034,unlabeled
lisberger_neuron_1035,unlabeled
lisberger_neuron_1036,unlabeled
lisberger_neuron_1037,GoC
lisberger_neuron_1038,unlabeled
lisberger_neuron_1039,GoC
lisberger_neuron_104,GoC
lisberger_neuron_1040,unlabeled
lisberger_neuron_1041,PkC_cs
lisberger_neuron_1042,MLI
lisberger_neuron_1043,unlabeled
lisberger_neuron_1044,PkC_ss
lisberger_neuron_1045,PkC_ss
lisberger_neuron_1046,unlabeled
lisberger_neuron_1047,PkC_ss
lisberger_neuron_1048,unlabeled
lisberger_neuron_1049,unlabeled
lisberger_neuron_105,unlabeled
lisberger_neuron_1050,unlabeled
lisberger_neuron_1051,unlabeled
lisberger_neuron_1052,unlabeled
lisberger_neuron_1053,unlabeled
lisberger_neuron_1054,GoC
lisberger_neuron_1055,unlabeled
lisberger_neuron_1056,unlabeled
lisberger_neuron_1057,unlabeled
lisberger_neuron_1058,unlabeled
lisberger_neuron_1059,MLI
lisberger_neuron_106,PkC_ss
lisberger_neuron_1060,MLI
lisberger_neuron_1061,MFB
lisberger_neuron_1062,MFB
lisberger_neuron_1063,unlabeled
lisberger_neuron_1064,PkC_cs
lisberger_neuron_1065,PkC_cs
lisberger_neuron_1066,PkC_ss
lisberger_neuron_1067,unlabeled
lisberger_neuron_1068,PkC_ss
lisberger_neuron_1069,PkC_ss
lisberger_neuron_107,PkC_cs
lisberger_neuron_1070,PkC_ss
lisberger_neuron_1071,PkC_ss
lisberger_neuron_1072,PkC_cs
lisberger_neuron_1073,PkC_cs
lisberger_neuron_1074,PkC_cs
lisberger_neuron_1075,PkC_cs
lisberger_neuron_1076,GoC
lisberger_neuron_1077,GoC
lisberger_neuron_1078,GoC
lisberger_neuron_1079,unlabeled
lisberger_neuron_108,GoC
lisberger_neuron_1080,GoC
lisberger_neuron_1081,GoC
lisberger_neuron_1082,unlabeled
lisberger_neuron_1083,GoC
lisberger_neuron_1084,GoC
lisberger_neuron_1085,PkC_ss
lisberger_neuron_1086,GoC
lisberger_neuron_1087,unlabeled
lisberger_neuron_1088,MLI
lisberger_neuron_1089,MLI
lisberger_neuron_109,GoC
lisberger_neuron_1090,MLI
lisberger_neuron_1091,GoC
lisberger_neuron_1092,GoC
lisberger_neuron_1093,unlabeled
lisberger_neuron_1094,GoC
lisberger_neuron_1095,unlabeled
lisberger_neuron_1096,MFB
