config_id,temperature,lr,z_dim,batch_size,weight_decay,fold,probe,balanced_accuracy
config_1,0.1,0.0001,512,1024,0.0,2,mlp,0.7047619047619047
config_1,0.1,0.0001,512,1024,0.0,2,knn,0.7547619047619047
config_1,0.1,0.0001,512,1024,0.0,3,knn,0.8333333333333333
config_10,0.5,0.0001,512,256,0.0,4,knn,0.8933333333333333
config_1,0.1,0.0001,512,1024,0.0,0,knn,0.9333333333333332
config_10,0.5,0.0001,512,256,0.0,1,mlp,0.6714285714285715
config_10,0.5,0.0001,512,256,0.0,3,knn,0.8333333333333333
config_1,0.1,0.0001,512,1024,0.0,4,knn,0.8266666666666665
config_10,0.5,0.0001,512,256,0.0,3,mlp,0.6666666666666666
config_1,0.1,0.0001,512,1024,0.0,0,mlp,0.6095238095238095
config_11,0.3,0.0001,256,1024,0.0,0,mlp,0.8666666666666666
config_10,0.5,0.0001,512,256,0.0,0,mlp,0.5714285714285714
config_10,0.5,0.0001,512,256,0.0,0,knn,0.9333333333333332
config_11,0.3,0.0001,256,1024,0.0,0,knn,0.9333333333333332
config_1,0.1,0.0001,512,1024,0.0,4,mlp,0.5266666666666666
config_10,0.5,0.0001,512,256,0.0,1,knn,0.7314285714285714
config_10,0.5,0.0001,512,256,0.0,4,mlp,0.7933333333333332
config_1,0.1,0.0001,512,1024,0.0,1,knn,0.8266666666666668
config_10,0.5,0.0001,512,256,0.0,2,knn,0.7047619047619047
config_1,0.1,0.0001,512,1024,0.0,1,mlp,0.6714285714285715
config_10,0.5,0.0001,512,256,0.0,2,mlp,0.638095238095238
config_11,0.3,0.0001,256,1024,0.0,1,knn,0.7314285714285714
config_11,0.3,0.0001,256,1024,0.0,4,knn,0.86
config_11,0.3,0.0001,256,1024,0.0,2,knn,0.7547619047619047
config_11,0.3,0.0001,256,1024,0.0,3,mlp,0.8
config_12,0.7,0.0001,256,1024,0.0,2,mlp,0.7047619047619047
config_12,0.7,0.0001,256,1024,0.0,4,mlp,0.6933333333333334
config_12,0.7,0.0001,256,1024,0.0,1,knn,0.7314285714285714
config_12,0.7,0.0001,256,1024,0.0,0,mlp,0.8666666666666666
config_13,0.3,0.0001,128,1024,0.0,0,mlp,0.7047619047619047
config_12,0.7,0.0001,256,1024,0.0,1,mlp,0.6428571428571429
config_13,0.3,0.0001,128,1024,0.0,0,knn,0.9333333333333332
config_11,0.3,0.0001,256,1024,0.0,4,mlp,0.8933333333333333
config_12,0.7,0.0001,256,1024,0.0,3,mlp,0.7333333333333333
config_11,0.3,0.0001,256,1024,0.0,1,mlp,0.6695238095238094
config_13,0.3,0.0001,128,1024,0.0,4,knn,0.8933333333333333
config_12,0.7,0.0001,256,1024,0.0,2,knn,0.7547619047619047
config_12,0.7,0.0001,256,1024,0.0,3,knn,0.7
config_11,0.3,0.0001,256,1024,0.0,3,knn,0.8333333333333333
config_14,0.7,0.0001,128,1024,0.0,0,knn,0.9333333333333332
config_14,0.7,0.0001,128,1024,0.0,1,knn,0.7314285714285714
config_11,0.3,0.0001,256,1024,0.0,2,mlp,0.7547619047619047
config_14,0.7,0.0001,128,1024,0.0,1,mlp,0.6599999999999999
config_13,0.3,0.0001,128,1024,0.0,1,mlp,0.6599999999999999
config_14,0.7,0.0001,128,1024,0.0,3,mlp,0.7
config_12,0.7,0.0001,256,1024,0.0,4,knn,0.8933333333333333
config_14,0.7,0.0001,128,1024,0.0,3,knn,0.9
config_14,0.7,0.0001,128,1024,0.0,4,mlp,0.5533333333333333
config_15,0.3,0.001,512,1024,0.0,1,knn,0.7247619047619047
config_15,0.3,0.001,512,1024,0.0,2,mlp,0.738095238095238
config_14,0.7,0.0001,128,1024,0.0,2,knn,0.7333333333333333
config_15,0.3,0.001,512,1024,0.0,1,mlp,0.6866666666666666
config_14,0.7,0.0001,128,1024,0.0,4,knn,0.8933333333333333
config_15,0.3,0.001,512,1024,0.0,0,mlp,0.6857142857142857
config_14,0.7,0.0001,128,1024,0.0,2,mlp,0.7047619047619047
config_15,0.3,0.001,512,1024,0.0,3,knn,0.8
config_15,0.3,0.001,512,1024,0.0,2,knn,0.8047619047619048
config_13,0.3,0.0001,128,1024,0.0,2,knn,0.7833333333333333
config_15,0.3,0.001,512,1024,0.0,0,knn,0.9047619047619048
config_16,0.7,0.001,512,1024,0.0,0,mlp,0.8095238095238095
config_12,0.7,0.0001,256,1024,0.0,0,knn,0.9333333333333332
config_17,0.3,1e-05,512,1024,0.0,0,knn,0.8
config_13,0.3,0.0001,128,1024,0.0,4,mlp,0.7266666666666667
config_13,0.3,0.0001,128,1024,0.0,2,mlp,0.7047619047619047
config_17,0.3,1e-05,512,1024,0.0,1,knn,0.76
config_15,0.3,0.001,512,1024,0.0,4,mlp,0.5933333333333334
config_16,0.7,0.001,512,1024,0.0,1,knn,0.6580952380952381
config_13,0.3,0.0001,128,1024,0.0,3,mlp,0.7333333333333333
config_16,0.7,0.001,512,1024,0.0,1,mlp,0.6028571428571429
config_16,0.7,0.001,512,1024,0.0,4,mlp,0.7266666666666667
config_17,0.3,1e-05,512,1024,0.0,3,knn,0.8
config_13,0.3,0.0001,128,1024,0.0,1,knn,0.698095238095238
config_15,0.3,0.001,512,1024,0.0,3,mlp,0.8
config_16,0.7,0.001,512,1024,0.0,0,knn,0.9714285714285712
config_13,0.3,0.0001,128,1024,0.0,3,knn,0.7666666666666667
config_17,0.3,1e-05,512,1024,0.0,0,mlp,0.5047619047619047
config_16,0.7,0.001,512,1024,0.0,2,mlp,0.8047619047619048
config_17,0.3,1e-05,512,1024,0.0,2,mlp,0.6166666666666666
config_15,0.3,0.001,512,1024,0.0,4,knn,0.7266666666666667
config_16,0.7,0.001,512,1024,0.0,3,mlp,0.7
config_17,0.3,1e-05,512,1024,0.0,2,knn,0.7333333333333333
config_17,0.3,1e-05,512,1024,0.0,1,mlp,0.4933333333333333
config_16,0.7,0.001,512,1024,0.0,3,knn,0.8666666666666666
config_18,0.7,1e-05,512,1024,0.0,0,knn,0.7333333333333333
config_17,0.3,1e-05,512,1024,0.0,4,mlp,0.8333333333333333
config_18,0.7,1e-05,512,1024,0.0,3,knn,0.8
config_18,0.7,1e-05,512,1024,0.0,2,knn,0.6833333333333333
config_19,0.3,0.0001,512,256,0.0,2,knn,0.7547619047619047
config_18,0.7,1e-05,512,1024,0.0,2,mlp,0.6166666666666666
config_17,0.3,1e-05,512,1024,0.0,3,mlp,0.7333333333333333
config_2,0.3,0.0001,512,1024,0.0,0,mlp,0.638095238095238
config_18,0.7,1e-05,512,1024,0.0,1,knn,0.76
config_19,0.3,0.0001,512,256,0.0,1,mlp,0.7714285714285715
config_2,0.3,0.0001,512,1024,0.0,1,mlp,0.7714285714285715
config_18,0.7,1e-05,512,1024,0.0,1,mlp,0.4933333333333333
config_18,0.7,1e-05,512,1024,0.0,4,mlp,0.8333333333333333
config_19,0.3,0.0001,512,256,0.0,3,knn,0.8333333333333333
config_19,0.3,0.0001,512,256,0.0,4,knn,0.86
config_2,0.3,0.0001,512,1024,0.0,0,knn,0.9333333333333332
config_14,0.7,0.0001,128,1024,0.0,0,mlp,0.7333333333333333
config_17,0.3,1e-05,512,1024,0.0,4,knn,0.8333333333333333
config_19,0.3,0.0001,512,256,0.0,1,knn,0.698095238095238
config_19,0.3,0.0001,512,256,0.0,0,knn,0.9333333333333332
config_19,0.3,0.0001,512,256,0.0,0,mlp,0.6095238095238095
config_18,0.7,1e-05,512,1024,0.0,4,knn,0.8333333333333333
config_18,0.7,1e-05,512,1024,0.0,3,mlp,0.7333333333333333
config_2,0.3,0.0001,512,1024,0.0,1,knn,0.698095238095238
config_19,0.3,0.0001,512,256,0.0,4,mlp,0.5266666666666666
config_18,0.7,1e-05,512,1024,0.0,0,mlp,0.5047619047619047
config_2,0.3,0.0001,512,1024,0.0,2,knn,0.7547619047619047
config_2,0.3,0.0001,512,1024,0.0,4,mlp,0.66
config_2,0.3,0.0001,512,1024,0.0,3,mlp,0.7333333333333333
config_16,0.7,0.001,512,1024,0.0,4,knn,0.7933333333333332
config_20,0.7,0.0001,512,256,0.0,2,knn,0.7047619047619047
config_2,0.3,0.0001,512,1024,0.0,2,mlp,0.7047619047619047
config_21,0.5,0.0001,256,256,0.0,0,knn,0.9333333333333332
config_2,0.3,0.0001,512,1024,0.0,4,knn,0.8933333333333333
config_20,0.7,0.0001,512,256,0.0,4,knn,0.8933333333333333
config_16,0.7,0.001,512,1024,0.0,2,knn,0.8333333333333333
config_20,0.7,0.0001,512,256,0.0,3,mlp,0.5333333333333333
