method,dataset,fold,balanced_accuracy,macro_f1
hippie_waveisi,a1data_remove_undef,0,0.5301127214170692,0.5066936060256199
hippie_waveisi,a1data_remove_undef,1,0.6342592592592592,0.5907070707070706
hippie_waveisi,a1data_remove_undef,2,0.4618357487922706,0.4660286749536242
hippie_waveisi,a1data_remove_undef,3,0.6263285024154589,0.6218487394957983
hippie_waveisi,a1data_remove_undef,4,0.5943236714975845,0.5713489409141582
vae_waveisi,a1data_remove_undef,0,0.59085346215781,0.5389770723104057
vae_waveisi,a1data_remove_undef,1,0.5972222222222222,0.5597883597883597
vae_waveisi,a1data_remove_undef,2,0.5967391304347825,0.6030137455439841
vae_waveisi,a1data_remove_undef,3,0.6294685990338165,0.6179183135704874
vae_waveisi,a1data_remove_undef,4,0.52487922705314,0.502433434445568
physmap,a1data_remove_undef,0,0.7285024154589372,0.7115722441809398
physmap,a1data_remove_undef,1,0.6103059581320451,0.6059042147459305
physmap,a1data_remove_undef,2,0.7722222222222221,0.7414824482692989
physmap,a1data_remove_undef,3,0.600257648953301,0.5959468707229066
physmap,a1data_remove_undef,4,0.5717391304347825,0.5736546334781051
pca_wf,a1data_remove_undef,0,0.6471014492753623,0.599693026359693
pca_wf,a1data_remove_undef,1,0.640901771336554,0.6039825615647461
pca_wf,a1data_remove_undef,2,0.6027777777777777,0.5812698412698413
pca_wf,a1data_remove_undef,3,0.6147504025764895,0.6226657329598506
pca_wf,a1data_remove_undef,4,0.5791062801932366,0.5879934344173045
pca_isi,a1data_remove_undef,0,0.6794685990338164,0.6645218323840992
pca_isi,a1data_remove_undef,1,0.6223832528180354,0.6154320987654321
pca_isi,a1data_remove_undef,2,0.6638888888888889,0.6337161607875308
pca_isi,a1data_remove_undef,3,0.4664090177133655,0.46214916172418624
pca_isi,a1data_remove_undef,4,0.6562801932367149,0.6718986418740315
shuffle,a1data_remove_undef,0,0.33797101449275363,0.27521069456553326
shift,a1data_remove_undef,0,0.4018679549114332,0.28611555962276625
hippie_waveisi,juxtacellular_mouse_s1_area,0,0.8277777777777778,0.800193236714976
hippie_waveisi,juxtacellular_mouse_s1_area,1,0.925,0.9214456942651669
hippie_waveisi,juxtacellular_mouse_s1_area,2,0.9,0.9047619047619048
hippie_waveisi,juxtacellular_mouse_s1_area,3,0.9350649350649352,0.929059829059829
hippie_waveisi,juxtacellular_mouse_s1_area,4,0.9818181818181818,0.9799498746867169
vae_waveisi,juxtacellular_mouse_s1_area,0,0.6849206349206349,0.676031746031746
vae_waveisi,juxtacellular_mouse_s1_area,1,0.5833333333333333,0.5522605042016806
vae_waveisi,juxtacellular_mouse_s1_area,2,0.5678571428571428,0.5408253968253968
vae_waveisi,juxtacellular_mouse_s1_area,3,0.4812409812409813,0.4551818181818182
vae_waveisi,juxtacellular_mouse_s1_area,4,0.5874347874347874,0.5432240020340706
physmap,juxtacellular_mouse_s1_area,0,0.6611111111111111,0.6593915343915344
physmap,juxtacellular_mouse_s1_area,1,0.6136363636363636,0.6177696865852788
physmap,juxtacellular_mouse_s1_area,2,0.6949328449328449,0.7113604488078542
physmap,juxtacellular_mouse_s1_area,3,0.754906204906205,0.7398268398268397
physmap,juxtacellular_mouse_s1_area,4,0.7226190476190476,0.7156502794354458
pca_wf,juxtacellular_mouse_s1_area,0,0.6341269841269841,0.6194995864350703
pca_wf,juxtacellular_mouse_s1_area,1,0.6525974025974026,0.6063655871705407
pca_wf,juxtacellular_mouse_s1_area,2,0.585103785103785,0.5789377289377289
pca_wf,juxtacellular_mouse_s1_area,3,0.5866522366522366,0.5584615384615385
pca_wf,juxtacellular_mouse_s1_area,4,0.6357142857142858,0.6027508481398425
pca_isi,juxtacellular_mouse_s1_area,0,0.553968253968254,0.5486946778711485
pca_isi,juxtacellular_mouse_s1_area,1,0.48474025974025975,0.5011538461538462
pca_isi,juxtacellular_mouse_s1_area,2,0.4293040293040293,0.4420168067226891
pca_isi,juxtacellular_mouse_s1_area,3,0.4525252525252525,0.41927232188101754
pca_isi,juxtacellular_mouse_s1_area,4,0.4226190476190476,0.4097777777777778
shuffle,juxtacellular_mouse_s1_area,0,0.25396825396825395,0.1873389355742297
shift,juxtacellular_mouse_s1_area,0,0.25,0.17558441558441557
