method,dataset,fold,balanced_accuracy,macro_f1
hippie_isiacg,dandi_000473_cell_type,0,0.6775701153958105,0.7035782047367732
hippie_isiacg,dandi_000473_cell_type,1,0.7142791752345004,0.7433950461585027
hippie_isiacg,dandi_000473_cell_type,2,0.7235688196576622,0.7412551162564662
hippie_isiacg,dandi_000473_cell_type,3,0.7448685326547921,0.7593952162535632
hippie_isiacg,dandi_000473_cell_type,4,0.7273060381781412,0.7472583557315498
physmap,dandi_000473_cell_type,0,0.7110687022900763,0.7371357999663908
physmap,dandi_000473_cell_type,1,0.728784635174596,0.7591655280050447
physmap,dandi_000473_cell_type,2,0.7261133489197487,0.7471415182755389
physmap,dandi_000473_cell_type,3,0.7123568084821523,0.7388432304559757
physmap,dandi_000473_cell_type,4,0.7006645352713069,0.727054265072384
pca_isi,dandi_000473_cell_type,0,0.6902106304778061,0.7098053981757673
pca_isi,dandi_000473_cell_type,1,0.6981200060092204,0.7212859043826543
pca_isi,dandi_000473_cell_type,2,0.6897904284386356,0.6721765033646222
pca_isi,dandi_000473_cell_type,3,0.7068170554398097,0.7213713611508179
pca_isi,dandi_000473_cell_type,4,0.6658016675586603,0.6792729219854087
pca_acg,dandi_000473_cell_type,0,0.6988903025162567,0.7194384140039576
pca_acg,dandi_000473_cell_type,1,0.7288480136709764,0.7622549019607843
pca_acg,dandi_000473_cell_type,2,0.7305028966320197,0.7548153674391427
pca_acg,dandi_000473_cell_type,3,0.7166187893578491,0.7409282700421941
pca_acg,dandi_000473_cell_type,4,0.7092534952067078,0.7341920715571081
hippie_isiacg,dandi_000955_cell_type,0,0.8333333333333333,0.7157894736842105
hippie_isiacg,dandi_000955_cell_type,1,0.7619047619047619,0.7467166979362101
hippie_isiacg,dandi_000955_cell_type,2,0.5357142857142857,0.5333333333333333
hippie_isiacg,dandi_000955_cell_type,3,0.6190476190476191,0.6318181818181818
hippie_isiacg,dandi_000955_cell_type,4,0.7,0.7523809523809524
physmap,dandi_000955_cell_type,0,0.6428571428571428,0.6666666666666666
physmap,dandi_000955_cell_type,1,0.6309523809523809,0.6142857142857143
physmap,dandi_000955_cell_type,2,0.6547619047619048,0.6454033771106942
physmap,dandi_000955_cell_type,3,0.7,0.7523809523809524
physmap,dandi_000955_cell_type,4,0.5595238095238095,0.5597826086956521
pca_isi,dandi_000955_cell_type,0,0.6785714285714286,0.6785714285714286
pca_isi,dandi_000955_cell_type,1,0.8214285714285714,0.7692307692307692
pca_isi,dandi_000955_cell_type,2,0.5952380952380952,0.6004228329809725
pca_isi,dandi_000955_cell_type,3,0.6523809523809524,0.6640826873385013
pca_isi,dandi_000955_cell_type,4,0.6428571428571428,0.6666666666666666
pca_acg,dandi_000955_cell_type,0,0.5595238095238095,0.5597826086956521
pca_acg,dandi_000955_cell_type,1,0.7261904761904762,0.7545454545454545
pca_acg,dandi_000955_cell_type,2,0.6785714285714286,0.6785714285714286
pca_acg,dandi_000955_cell_type,3,0.9285714285714286,0.8461538461538463
pca_acg,dandi_000955_cell_type,4,0.7857142857142857,0.7857142857142857
