method,dataset,fold,balanced_accuracy,macro_f1
hippie,dandi_000041_cell_type,0,0.75,0.8160919540229885
hippie,dandi_000041_cell_type,1,0.7,0.7684729064039408
hippie,dandi_000041_cell_type,2,0.8642857142857143,0.8089430894308942
hippie,dandi_000041_cell_type,3,0.8,0.8633720930232558
hippie,dandi_000041_cell_type,4,0.7378048780487805,0.7761904761904761
nemo,dandi_000041_cell_type,0,0.8035195350339037,0.8261398176291793
nemo,dandi_000041_cell_type,1,0.7772037455602196,0.8053475935828878
nemo,dandi_000041_cell_type,2,0.7099522835719154,0.7455823293172691
nemo,dandi_000041_cell_type,3,0.8793047433398311,0.870683496070493
nemo,dandi_000041_cell_type,4,0.8560753736192332,0.8645322245322246
physmap,dandi_000041_cell_type,0,0.6342105263157896,0.6126126126126126
physmap,dandi_000041_cell_type,1,0.6,0.6416666666666666
physmap,dandi_000041_cell_type,2,0.6871794871794872,0.725
physmap,dandi_000041_cell_type,3,0.7605263157894737,0.7393939393939394
physmap,dandi_000041_cell_type,4,0.7371794871794872,0.7667269439421338
pca_wf,dandi_000041_cell_type,0,0.5,0.4691358024691358
pca_wf,dandi_000041_cell_type,1,0.5473684210526316,0.5473684210526316
pca_wf,dandi_000041_cell_type,2,0.6487179487179487,0.6363636363636364
pca_wf,dandi_000041_cell_type,3,0.5,0.4691358024691358
pca_wf,dandi_000041_cell_type,4,0.6730769230769231,0.6126126126126126
pca_isi,dandi_000041_cell_type,0,0.6473684210526316,0.6351515151515151
pca_isi,dandi_000041_cell_type,1,0.6,0.6416666666666666
pca_isi,dandi_000041_cell_type,2,0.7,0.7671957671957672
pca_isi,dandi_000041_cell_type,3,0.7736842105263158,0.7736842105263158
pca_isi,dandi_000041_cell_type,4,0.6987179487179487,0.6605263157894736
pca_acg,dandi_000041_cell_type,0,0.8342105263157895,0.7440476190476191
pca_acg,dandi_000041_cell_type,1,0.6868421052631579,0.7243589743589743
pca_acg,dandi_000041_cell_type,2,0.735897435897436,0.6841025641025641
pca_acg,dandi_000041_cell_type,3,0.7868421052631579,0.8138528138528138
pca_acg,dandi_000041_cell_type,4,0.625,0.6814814814814815
