method,dataset,fold,balanced_accuracy,macro_f1
hippie-fullcond,hull_cell_type,0,0.96875,0.9333333333333333
hippie-fullcond,hull_cell_type,1,0.9642857142857143,0.9529914529914529
hippie-fullcond,hull_cell_type,2,1.0,1.0
hippie-fullcond,hull_cell_type,3,0.9166666666666666,0.9142857142857143
hippie-fullcond,hull_cell_type,4,0.8928571428571429,0.8408882783882784
vae,hull_cell_type,0,0.9375,0.9495798319327731
vae,hull_cell_type,1,1.0,1.0
vae,hull_cell_type,2,0.8184523809523809,0.8260073260073261
vae,hull_cell_type,3,0.9166666666666666,0.9333333333333333
vae,hull_cell_type,4,0.9642857142857143,0.945054945054945
wf-rf,hull_cell_type,0,0.5892857142857143,0.5045098039215686
wf-rf,hull_cell_type,1,0.6714285714285715,0.64
wf-rf,hull_cell_type,2,0.7333333333333333,0.711111111111111
wf-rf,hull_cell_type,3,0.9285714285714286,0.886904761904762
wf-rf,hull_cell_type,4,0.9285714285714286,0.905952380952381
physmap,hull_cell_type,0,0.9166666666666666,0.9333333333333333
physmap,hull_cell_type,1,0.9642857142857143,0.9641025641025642
physmap,hull_cell_type,2,1.0,1.0
physmap,hull_cell_type,3,0.9642857142857143,0.9307692307692308
physmap,hull_cell_type,4,1.0,1.0
pca_wf,hull_cell_type,0,0.8452380952380952,0.8478632478632478
pca_wf,hull_cell_type,1,0.9285714285714286,0.886904761904762
pca_wf,hull_cell_type,2,0.9583333333333334,0.9606060606060607
pca_wf,hull_cell_type,3,0.8571428571428571,0.7697302697302697
pca_wf,hull_cell_type,4,0.96875,0.9555555555555555
pca_isi,hull_cell_type,0,0.8809523809523809,0.8865079365079365
pca_isi,hull_cell_type,1,0.8809523809523809,0.8783882783882784
pca_isi,hull_cell_type,2,0.9583333333333334,0.9606060606060607
pca_isi,hull_cell_type,3,0.875,0.8999999999999999
pca_isi,hull_cell_type,4,1.0,1.0
pca_acg,hull_cell_type,0,0.9166666666666666,0.9333333333333333
pca_acg,hull_cell_type,1,0.7976190476190476,0.8142857142857144
pca_acg,hull_cell_type,2,0.9166666666666666,0.9307692307692308
pca_acg,hull_cell_type,3,1.0,1.0
pca_acg,hull_cell_type,4,1.0,1.0
hippie-fullcond,lisberger_labeled_cell_type,0,0.7160415198105655,0.6979720509132274
hippie-fullcond,lisberger_labeled_cell_type,1,0.6513253722541648,0.6783757233593665
hippie-fullcond,lisberger_labeled_cell_type,2,0.6686333480760724,0.6871160258304141
hippie-fullcond,lisberger_labeled_cell_type,3,0.7041167828292841,0.7392936431270867
hippie-fullcond,lisberger_labeled_cell_type,4,0.6522348920929043,0.67005439005439
vae,lisberger_labeled_cell_type,0,0.48864377035988904,0.5077393828501073
vae,lisberger_labeled_cell_type,1,0.41908300162170137,0.40452768099109565
vae,lisberger_labeled_cell_type,2,0.4553206545776206,0.43743367743367745
vae,lisberger_labeled_cell_type,3,0.43836823295561417,0.4231455399061034
vae,lisberger_labeled_cell_type,4,0.44231297365171607,0.4424279266832459
wf-rf,lisberger_labeled_cell_type,0,0.46623560208163256,0.463396998782708
wf-rf,lisberger_labeled_cell_type,1,0.40784018870706173,0.3949292422976633
wf-rf,lisberger_labeled_cell_type,2,0.4772902845348666,0.4751515151515152
wf-rf,lisberger_labeled_cell_type,3,0.35872846416243453,0.34556559571619816
wf-rf,lisberger_labeled_cell_type,4,0.42088335800303345,0.4112999923590307
physmap,lisberger_labeled_cell_type,0,0.46341956930192224,0.4497810384308645
physmap,lisberger_labeled_cell_type,1,0.5068507009683481,0.49109195402298844
physmap,lisberger_labeled_cell_type,2,0.5621091679915209,0.5554850088183422
physmap,lisberger_labeled_cell_type,3,0.5264685464685466,0.501604251912471
physmap,lisberger_labeled_cell_type,4,0.49603989015753724,0.4870338049648394
pca_wf,lisberger_labeled_cell_type,0,0.4017488076311606,0.39810716887028874
pca_wf,lisberger_labeled_cell_type,1,0.37013812896165843,0.36934725405313634
pca_wf,lisberger_labeled_cell_type,2,0.38897239485474777,0.3807070707070707
pca_wf,lisberger_labeled_cell_type,3,0.392033072033072,0.4051738680052571
pca_wf,lisberger_labeled_cell_type,4,0.36836248012718603,0.3509602122015915
pca_isi,lisberger_labeled_cell_type,0,0.576297152767741,0.5701096025738582
pca_isi,lisberger_labeled_cell_type,1,0.6053455288749406,0.6230728040366595
