pred,true
Excitatory,Inhibitory
Excitatory,Inhibitory
Excitatory,Inhibitory
Excitatory,Inhibitory
Inhibitory,Inhibitory
Inhibitory,Inhibitory
Inhibitory,Inhibitory
Excitatory,Inhibitory
Excitatory,Inhibitory
Excitatory,Excitatory
Excitatory,Excitatory
Excitatory,Inhibitory
Excitatory,Inhibitory
Excitatory,Excitatory
Excitatory,Excitatory
Excitatory,Excitatory
Excitatory,Excitatory
Excitatory,Inhibitory
Excitatory,Inhibitory
Excitatory,Inhibitory
Excitatory,Inhibitory
Inhibitory,Inhibitory
Excitatory,Inhibitory
Excitatory,Inhibitory
Excitatory,Inhibitory
Excitatory,Inhibitory
Excitatory,Inhibitory
