pred,true
GoC,PkC_ss
GoC,MLI
PkC_ss,PkC_cs
GoC,PkC_ss
GoC,MLI
MFB,GoC
PkC_ss,PkC_cs
GoC,PkC_ss
MLI,MFB
GoC,PkC_ss
GoC,GoC
MFB,GoC
MLI,MLI
MFB,GoC
MFB,GoC
MFB,GoC
MFB,GoC
MLI,MFB
MFB,GoC
MFB,GoC
MFB,GoC
MFB,GoC
GoC,PkC_ss
GoC,PkC_ss
MFB,GoC
GoC,GoC
PkC_ss,PkC_cs
GoC,MFB
MFB,GoC
PkC_ss,PkC_cs
GoC,PkC_ss
GoC,PkC_ss
MLI,MFB
MFB,MFB
MFB,GoC
GoC,MFB
GoC,MFB
GoC,MFB
GoC,PkC_ss
GoC,PkC_ss
GoC,MFB
GoC,PkC_ss
PkC_ss,PkC_cs
MFB,PkC_cs
MFB,GoC
PkC_ss,PkC_cs
GoC,GoC
GoC,GoC
GoC,PkC_ss
MFB,GoC
GoC,PkC_ss
GoC,PkC_ss
GoC,PkC_ss
GoC,PkC_ss
MLI,MFB
MFB,GoC
MFB,GoC
GoC,MLI
PkC_ss,PkC_cs
PkC_cs,MFB
GoC,MFB
GoC,PkC_ss
MFB,PkC_cs
MFB,GoC
MFB,GoC
MFB,GoC
GoC,PkC_ss
PkC_ss,PkC_cs
GoC,PkC_ss
PkC_ss,PkC_cs
PkC_ss,PkC_cs
MFB,GoC
MFB,GoC
GoC,PkC_ss
MFB,GoC
GoC,PkC_ss
PkC_ss,PkC_cs
GoC,PkC_ss
GoC,PkC_ss
GoC,PkC_ss
GoC,PkC_ss
PkC_ss,PkC_cs
GoC,PkC_ss
GoC,PkC_ss
MFB,MLI
PkC_ss,PkC_cs
MFB,GoC
MLI,MFB
GoC,PkC_ss
PkC_ss,PkC_cs
GoC,PkC_ss
GoC,MLI
GoC,PkC_ss
GoC,PkC_ss
GoC,PkC_ss
MFB,GoC
PkC_ss,PkC_cs
MFB,GoC
GoC,PkC_ss
GoC,MFB
PkC_ss,PkC_cs
GoC,PkC_ss
GoC,PkC_ss
PkC_ss,PkC_cs
GoC,MFB
MFB,PkC_cs
GoC,PkC_ss
GoC,PkC_ss
MLI,MFB
GoC,PkC_ss
GoC,MLI
MLI,MFB
MFB,GoC
MFB,GoC
MFB,GoC
GoC,GoC
MFB,GoC
PkC_ss,PkC_cs
GoC,PkC_ss
PkC_ss,PkC_cs
GoC,PkC_ss
PkC_ss,PkC_cs
GoC,PkC_ss
GoC,PkC_cs
MFB,GoC
PkC_ss,PkC_cs
PkC_ss,PkC_cs
GoC,PkC_ss
PkC_ss,PkC_cs
PkC_ss,PkC_cs
GoC,PkC_ss
PkC_ss,PkC_cs
MFB,GoC
MLI,MFB
