pred,true
PkC_cs,GoC
PkC_cs,MFB
PkC_cs,PkC_cs
PkC_cs,GoC
PkC_cs,GoC
PkC_cs,PkC_cs
PkC_cs,PkC_ss
PkC_cs,PkC_cs
PkC_ss,PkC_ss
PkC_cs,PkC_cs
PkC_cs,GoC
PkC_ss,PkC_ss
PkC_cs,PkC_cs
PkC_cs,GoC
PkC_cs,PkC_ss
PkC_cs,PkC_cs
PkC_cs,GoC
MFB,GoC
PkC_cs,MLI
PkC_cs,PkC_cs
PkC_cs,PkC_ss
PkC_cs,MLI
MFB,PkC_ss
GoC,PkC_cs
GoC,PkC_ss
PkC_cs,PkC_cs
MLI,PkC_ss
MFB,PkC_cs
PkC_cs,PkC_ss
PkC_ss,PkC_cs
PkC_cs,MFB
PkC_cs,GoC
GoC,GoC
PkC_cs,GoC
PkC_cs,PkC_cs
MFB,MFB
GoC,PkC_ss
PkC_cs,PkC_ss
PkC_cs,MFB
PkC_cs,GoC
PkC_cs,GoC
PkC_cs,MFB
MLI,PkC_cs
PkC_cs,PkC_ss
PkC_cs,GoC
PkC_cs,PkC_ss
PkC_cs,PkC_ss
GoC,PkC_cs
PkC_cs,MLI
PkC_cs,PkC_cs
PkC_cs,GoC
MFB,PkC_cs
PkC_cs,PkC_cs
PkC_cs,PkC_ss
MFB,PkC_ss
PkC_cs,PkC_cs
PkC_cs,MFB
PkC_cs,PkC_ss
PkC_cs,GoC
PkC_cs,GoC
GoC,GoC
PkC_cs,PkC_ss
MFB,PkC_ss
PkC_cs,PkC_cs
PkC_cs,GoC
PkC_cs,PkC_cs
PkC_cs,PkC_ss
GoC,GoC
PkC_cs,PkC_ss
GoC,PkC_ss
MLI,GoC
PkC_cs,GoC
GoC,GoC
MFB,GoC
PkC_cs,PkC_ss
PkC_cs,PkC_ss
PkC_cs,PkC_ss
PkC_cs,PkC_cs
PkC_cs,MFB
PkC_cs,PkC_ss
PkC_cs,PkC_ss
MFB,GoC
PkC_cs,PkC_cs
PkC_cs,PkC_cs
MFB,GoC
GoC,PkC_ss
PkC_cs,PkC_ss
PkC_cs,PkC_ss
PkC_cs,PkC_cs
PkC_cs,PkC_ss
PkC_cs,MFB
PkC_cs,MLI
PkC_cs,PkC_ss
PkC_cs,PkC_ss
PkC_cs,PkC_cs
PkC_cs,GoC
GoC,MFB
MFB,PkC_ss
PkC_cs,PkC_ss
PkC_cs,GoC
PkC_cs,PkC_ss
PkC_cs,MFB
PkC_cs,GoC
MLI,MFB
PkC_ss,GoC
GoC,PkC_ss
PkC_cs,PkC_cs
MFB,MFB
PkC_cs,MLI
MFB,MFB
PkC_ss,PkC_cs
PkC_cs,GoC
PkC_cs,GoC
PkC_cs,MFB
PkC_cs,GoC
PkC_cs,PkC_cs
PkC_cs,PkC_ss
GoC,PkC_ss
PkC_cs,MFB
GoC,GoC
PkC_cs,MFB
GoC,PkC_ss
PkC_cs,MLI
GoC,PkC_ss
PkC_cs,MLI
GoC,MFB
MFB,MFB
PkC_cs,PkC_ss
GoC,GoC
GoC,PkC_cs
PkC_cs,GoC
PkC_ss,GoC
PkC_cs,GoC
PkC_cs,PkC_ss
